DD,LS,IIM,FID,RWs,SC,UP,NCE,NCP,RW
,,"remembering the symbol which in her vagueness as to what Mr. Ramsay did think about Andrew had given her. (He had been killed by the splinter of a shell instantly, she bethought her.) The kitchen table was something visionary, austere; something bare, hard, not ornamental. There was no colour to it; it was all edges and angles; it was uncompromisingly plain. But Mr. Ramsay kept always his eyes fixed upon it, never allowed himself to be distracted or deluded, until his face became worn too and ascetic and partook of this unornamented beauty which so deeply impressed her. Then,",,,,,,,
,,"worries had fretted it--not so nobly. He must have had his doubts about that table,",,,,,,,
,,"whether the table was a real table; whether it was worth the time he gave to it; whether he was able after all to find it. He had had doubts,",,,,,,,
,,"or he would have asked less of people. That was what they talked about late at night sometimes,",,,,,,,
,,"and then next day Mrs. Ramsay looked tired, and Lily flew into a rage with him over some absurd little thing. But now he had nobody to talk to about that table, or his boots, or his knots; and he was like a lion seeking whom he could devour, and his face had that touch of desperation, of exaggeration in it which alarmed her, and made her pull her skirts about her. And then,",,,,,,,
,,"there was that sudden revivification, that sudden flare (when she praised his boots), that sudden recovery of vitality and interest in ordinary human things, which too passed and changed (for he was always changing, and hid nothing) into that other final phase which was new to her and had, she owned, made herself ashamed of her own irritability, when it seemed as if he had shed worries and ambitions, and the hope of sympathy and the desire for praise, had entered some other region, was drawn on, as if by curiosity, in dumb colloquy, whether with himself or another, at the head of that little procession out of one's range.",,,,,,,
,,"<NCP>So they're gone,</NCP>",,,,,,,
,,"Her sympathy seemed to be cast back on her, like a bramble sprung across her face. She felt curiously divided, as if one part of her were drawn out there<NCP>--it was a still day, hazy; the Lighthouse looked this morning at an immense distance;</NCP> the other had fixed itself doggedly, solidly, here on the lawn. She saw her canvas as if it had floated up and placed itself white and uncompromising directly before her. It seemed to rebuke her with its cold stare for all this hurry and agitation; this folly and waste of emotion; it drastically recalled her and spread through her mind first a peace, as her disorderly sensations (he had gone and she had been so sorry for him and she had said nothing) trooped off the field; and then, emptiness. She looked blankly at the canvas, with its uncompromising white stare; from the canvas to the garden. There was something (she stood screwing up her little Chinese eyes in her small puckered face), something she remembered in the relations of those lines cutting across, slicing down, and in the mass of the hedge with its green cave of blues and browns, which had stayed in her mind; which had tied a knot in her mind so that at odds and ends of time, involuntarily, as she walked along the Brompton Road, as she brushed her hair, she found herself painting that picture, passing her eye over it, and untying the knot in imagination. But there was all the difference in the world between this planning airily away from the canvas and actually taking her brush and making the first mark.",,,,,,,
,,Where to begin?--that was the question at what point to make the first mark?,,,,,,,
,,"With a curious physical sensation, as if she were urged forward and at the same time must hold herself back, she made her first quick decisive stroke. The brush descended. It flickered brown over the white canvas; it left a running mark. A second time she did it--a third time. And so pausing and so flickering, she attained a dancing rhythmical movement, as if the pauses were one part of the rhythm and the strokes another, and all were related; and so, lightly and swiftly pausing, striking, she scored her canvas with brown running nervous lines which had no sooner settled there than they enclosed (she felt it looming out at her) a space. Down in the hollow of one wave she saw the next wave towering higher and higher above her. For what could be more formidable than that space? Here she was again, she thought, stepping back to look at it, drawn out of gossip, out of living, out of community with people into the presence of this formidable ancient enemy of hers--this other thing, this truth, this reality, which suddenly laid hands on her, emerged stark at the back of appearances and commanded her attention. She was half unwilling, half reluctant. Why always be drawn out and haled away? Why not left in peace, to talk to Mr. Carmichael on the lawn? It was an exacting form of intercourse anyhow. Other worshipful objects were content with worship; men, women, God, all let one kneel prostrate; but this form, were it only the shape of a white lamp-shade looming on a wicker table, roused one to perpetual combat, challenged one to a fight in which one was bound to be worsted. Always (it was in her nature, or in her sex, she did not know which) before she exchanged the fluidity of life for the concentration of painting she had a few moments of nakedness when she seemed like an unborn soul, a soul reft of body, hesitating on some windy pinnacle and exposed without protection to all the blasts of doubt. Why then did she do it? She looked at the canvas, lightly scored with running lines. It would be hung in the servants' bedrooms. It would be rolled up and stuffed under a sofa. What was the good of doing it then, and she heard some voice saying she couldn't paint, saying she couldn't create, as if she were caught up in one of those habitual currents in which after a certain time experience forms in the mind, so that one repeats words without being aware any longer who originally spoke them.",,,,,,,
,,"<NCP>Can't paint, can't write,</NCP> she murmured monotonously, anxiously considering what her plan of attack should be. For the mass loomed before her; it protruded; she felt it pressing on her eyeballs. Then, as if some juice necessary for the lubrication of her faculties were spontaneously squirted, she began precariously dipping among the blues and umbers, moving her brush hither and thither, but it was now heavier and went slower, as if it had fallen in with some rhythm which was dictated to her (she kept looking at the hedge, at the canvas) by what she rhythm was strong enough to bear her along with it on its current. Certainly she was losing consciousness of outer things. And as she lost consciousness of outer things, and her name and her personality and her appearance, and whether Mr. Carmichael was there or not, her mind kept throwing up from its depths, scenes, and names, and sayings, and memories and ideas, like a fountain spurting over that glaring, hideously difficult white space, while she modelled it with greens and blues.",,,,,,,
,,"Charles Tansley used to say that, she remembered, <NCP>women can't paint, can't write.</NCP> Coming up behind her, he had stood close beside her, a thing she hated, as she painted her on this very spot.<DD>""Shag tobacco,""</DD> he said,<DD>""fivepence an ounce,""</DD>parading his poverty, his principles. (But the war had drawn the sting of her femininity. <NCP>Poor devils,</NCP> one thought, <NCP>poor devils, of both sexes.</NCP>) He was always carrying a book about under his arm--a purple book. He <NCP>""worked.""</NCP> He sat, she remembered, working in a blaze of sun. At dinner he would sit right in the middle of the view. But after all, she reflected, there was the scene on the beach. One must remember that. It was a windy morning. They had all gone down to the beach. Mrs. Ramsay sat down and wrote letters by a rock. She wrote and wrote.<DD>""Oh,""</DD>she said, looking up at something floating in the sea,<DD>""is it a lobster pot? Is it an upturned boat?""</DD>She was so short-sighted that she could not see, and then Charles Tansley became as nice as he could possibly be. He began playing ducks and drakes. They chose little flat black stones and sent them skipping over the waves. Every now and then Mrs. Ramsay looked up over her spectacles and laughed at them. What they said she could not remember, but only she and Charles throwing stones and getting on very well all of a sudden and Mrs. Ramsay watching them. She was highly conscious of that. <NCP>Mrs. Ramsay,</NCP> she thought, stepping back and screwing up her eyes. (It must have altered the design a good deal when she was sitting on the step with James. There must have been a shadow.) When she thought of herself and Charles throwing ducks and drakes and of the whole scene on the beach, it seemed to depend somehow upon Mrs. Ramsay sitting under the rock, with a pad on her knee, writing letters. (She wrote innumerable letters, and sometimes the wind took them and she and Charles just saved a page from the sea.) <NCP>But what a power was in the human soul!</NCP> she thought.<LS>That woman sitting there writing under the rock resolved everything into simplicity; made these angers, irritations fall off like old rags; she brought together this and that and then this, and so made out of that miserable silliness and spite (she and Charles squabbling, sparring, had been silly and spiteful) something--this scene on the beach for example, this moment of friendship and liking--which survived, after all these years complete, so that she dipped into it to re-fashion her memory of him, and there it stayed in the mind affecting one almost like a work of art.</LS>",,,,,,,
,,"""Like a work of art,""",,,,,,,
,,"She must rest for a moment. And, resting, looking from one to the other vaguely, the old question which traversed the sky of the soul perpetually, the vast, the general question which was apt to particularise itself at such moments as these, <NCP>when she released faculties that had been on the strain,</NCP> stood over her, paused over her, darkened over her. What is the meaning of life? That was all--a simple question; one that tended to close in on one with years. The great revelation had never come. The great revelation perhaps never did come. Instead there were little daily miracles, illuminations, matches struck unexpectedly in the dark; here was one. This, that, and the other; herself and Charles Tansley and the breaking wave; Mrs. Ramsay bringing them together; Mrs. Ramsay saying, ""Life stand still here""; Mrs. Ramsay making of the moment something permanent (as in another sphere Lily herself tried to make of the moment something permanent)--this was of the nature of a revelation. In the midst of chaos there was shape; this eternal passing and flowing (she looked at the clouds going and the leaves shaking) was struck into stability. Life stand still here, Mrs. Ramsay said. ""Mrs. Ramsay! Mrs. Ramsay!"" she repeated. She owed it all to her.",,,,,,,
,,"The faint thought she was thinking of Mrs. Ramsay seemed in consonance with this quiet house; this smoke; this fine early morning air. Faint and unreal, it was amazingly pure and exciting. She hoped nobody would open the window or come out of the house, but that she might be left alone to go on thinking, to go on painting. She turned to her canvas. But impelled by some curiosity, driven by the discomfort of the sympathy which she held undischarged, she walked a pace or so to the end of the lawn to see whether, down there on the beach, she could see that little company setting sail. Down there among the little boats which floated, some with their sails furled, some slowly, <NCP>for it was very calm moving away,</NCP> there was one rather apart from the others. The sail was even now being hoisted. She decided that there in that very distant and entirely silent little boat Mr. Ramsay was sitting with Cam and James. Now they had got the sail up; now after a little flagging and silence, she watched the boat take its way with deliberation past the other boats out to sea.",,,,,,,
,,"<NCP>He would be impatient in a moment,</NCP>",,,,,,,
,,He hated hanging about.,,,,,,,
,,"But their father, they knew, would never be content until they were flying along. He would keep looking for a breeze, fidgeting, saying things under his breath, which Macalister and and Macalister's boy would overhear, and they would both be made horribly uncomfortable. He had made them come. He had forced them to come. In their anger they hoped that the breeze would never rise, that he might be thwarted in every possible way, since he had forced them to come against their wills.",,,,,,,
,,"feeling proud of him without knowing quite why, had he been there he would have launched the lifeboat, he would have reached the wreck, Cam thought. <NCP>He was so brave, he was so adventurous,</NCP> Cam thought. But she remembered. There was the compact; to resist tyranny to the death. Their grievance weighed them down. They had been forced; they had been bidden. He had borne them down once more with his gloom and his authority, making them do his bidding, on this fine morning, come, because he wished it, carrying these parcels, to the Lighthouse; take part in these rites he went through for his own pleasure in memory of dead people, which they hated, so that they lagged after him, all the pleasure of the day was spoilt.",,,,,,,
,,"Cam looked down into the foam, into the sea with all its treasure in it, and its speed hypnotised her, and the tie between her and James sagged a little. It slackened a little. She began to think, <NCP>How fast it goes. Where are we going? </NCP> and the movement hypnotised her,",,,,,,,
,,"But he began to think as he steered that he might escape; he might be quit of it all. They might land somewhere; and be free then. Both of them, looking at each other for a moment, had a sense of escape and exaltation, what with the speed and the change. But the breeze bred in Mr. Ramsay too the same excitement, and, as old Macalister turned to fling his line overboard, he cried out aloud,<DD>""We perished,"" </DD>and then again,<DD>""each alone.""</DD>",,,,,,,
,,"He had found the house and so seeing it, he had also seen himself there; he had seen himself walking on the terrace, alone. He was walking up and down between the urns; and he seemed to himself very old and bowed.",,,,,,,
,,"he imagined how they would soothe him and sympathise with him, and so getting in his dream some reflection of the exquisite pleasure women's sympathy was to him, he sighed and said gently and mournfully:",,,,,,,
,,"She was thinking how all those paths and the lawn, thick and knotted with the lives they had lived there, <NCP>were gone: were rubbed out; were past; were unreal, and now this was real; the boat and the sail with its patch; Macalister with his earrings; the noise of the waves--all this was real.</NCP> Thinking this, she was murmuring to herself,<DD>""We perished, each alone,""</DD>for her father's words broke and broke again in her mind,",,,,,,,
,,"Mr. Ramsay forgot his dream; how he walked up and down between the urns on the terrace; how the arms were stretched out to him. He thought, women are always like that; the vagueness of their minds is hopeless; it was a thing he had never been able to understand; but so it was. It had been so with her--his wife. They could not keep anything clearly fixed in their minds. But he had been wrong to be angry with her; moreover, did he not rather like this vagueness in women? It was part of their extraordinary charm. <NCP>I will make her smile at me,</NCP>",,,,,,,
,,"He would make her smile at him. He would find some simple easy thing to say to her. But what? For, wrapped up in his work as he was, he forgot the sort of thing one said. There was a puppy. They had a puppy.",,,,,,,
,,"<NCP>Yes,</NCP> thought James pitilessly, seeing his sister's head against the sail, <NCP>now she will give way. I shall be left to fight the tyrant alone.</NCP> The compact would be left to him to carry out. <NCP>Cam would never resist tyranny to the death,</NCP> he thought grimly, watching her face, sad, sulky, yielding.",,,,,,,
,,"Cam now felt herself overcast, as she sat there among calm, resolute people and wondered how to answer her father about the puppy; how to resist his entreaty<NCP>--forgive me, care for me;</NCP> while James the lawgiver, with the tablets of eternal wisdom laid open on his knee (his hand on the tiller had become symbolical to her), said, <FID> <NCP>Resist him. Fight him.</NCP></FID> He said so rightly; justly. <NCP>For they must fight tyranny to the death,</NCP>",,,,,,,
,,"Of all human qualities she reverenced justice most. Her brother was most god-like, her father most suppliant. <NCP>And to which did she yield,</NCP>",,,,,,,
,,"sitting between them, gazing at the shore whose points were all unknown to her, and thinking how the lawn and the terrace and the house were smoothed away now and peace dwelt there.",,,,,,,
,,He'd look after the puppy.,,,,,,,
,,"<NCP>She'll give way,</NCP>",,,,,,,
,,<NCP>They look down</NCP>,,,,,,,
,,"<NCP>at their knitting or something. Then suddenly they look up.</NCP> There was a flash of blue, he remembered, and then somebody sitting with him laughed, surrendered, and he was very angry. It must have been his mother, he thought, sitting on a low chair, with his father standing over her. He began to search among the infinite series of impressions which time had laid down, leaf upon leaf, fold upon fold softly, incessantly upon his brain; <NCP>among scents, sounds; voices, harsh, hollow, sweet; and lights passing, and brooms tapping; and the wash and hush of the sea,</NCP> how a man had marched up and down and stopped dead, upright, over them.",,,,,,,
,,"<NCP>No, she won't give way,</NCP>",,,,,,,
,,"<NCP>she's different, </NCP>",,,,,,,
,,"<NCP>Well, if Cam would not answer him, he would not bother her</NCP>",,,,,,,
,,"But she would answer him; she wished, passionately, to move some obstacle that lay upon her tongue and to say, <NCP>Oh, yes, Frisk. I'll call him Frisk.</NCP> She wanted even to say, <NCP>Was that the dog that found its way over the moor alone?</NCP> But try as she might, she could think of nothing to say like that, fierce and loyal to the compact, yet passing on to her father, unsuspected by James, a private token of the love she felt for him. For she thought, dabbling her hand",,,,,,,
,,"<NCP>you're not exposed to it, to this pressure and division of feeling, this extraordinary temptation.</NCP>",,,,,,,
,,"For no one attracted her more; his hands were beautiful, and his feet, and his voice, and his words, and his haste, and his temper, and his oddity, and his passion, and his saying straight out before every one, <NCP>we perish, each alone,</NCP> and his remoteness.",,,,,,,
,,"But what remained intolerable,",,,,,,,
,,"was that crass blindness and tyranny of his which had poisoned her childhood and raised bitter storms, so that even now she woke in the night trembling with rage and remembered some command of his; some insolence:<DD>""Do this,"" ""Do that,""</DD>his dominance: his<DD>""Submit to me.""</DD>",,,,,,,
,,"So she said nothing, but looked doggedly and sadly at the shore, wrapped in its mantle of peace; as if the people there had fallen asleep, she thought; were free like smoke, were free to come and go like ghosts. <NCP>They have no suffering there,</NCP>",,,,,,,
,,"<NCP>Yes, that is their boat,</NCP>",,,,,,,
,,"<NCP>There he sits,</NCP>",,,,,,,
,,<NCP>and the children are quite silent still.</NCP>,,,,,,,
,,"""D'you remember, Mr. Carmichael?""",,,,,,,
,,"""D'you remember?""",,,,,,,
,,"<NCP>Heaven be praised for it, the problem of space remained,</NCP>",,,,,,,
,,"<NCP>Who knows what we are, what we feel? Who knows even at the moment of intimacy, This is knowledge? Aren't things spoilt then,</NCP>",,,,,,,
,,<NCP>by saying them? Aren't we more expressive thus?</NCP>,,,,,,,
,,"Now Mrs. Ramsay got up, she remembered. It was time to go back to the house--time for luncheon. And they all walked up from the beach together, she walking behind with William Bankes, and there was Minta in front of them with a hole in her stocking. How that little round hole of pink heel seemed to flaunt itself before them! How William Bankes deplored it, without, so far as she could remember, saying anything about it! It meant to him the annihilation of womanhood, and dirt and disorder, and servants leaving and beds not made at mid-day--all the things he most abhorred. He had a way of shuddering and spreading his fingers out as if to cover an unsightly object which he did now--holding his hand in front of him. And Minta walked on ahead, and presumably Paul met her and she went off with Paul in the garden.",,,,,,,
,,"<NCP>The Rayleys,</NCP>",,,,,,,
,,"She collected her impressions of the Rayleys. Their lives appeared to her in a series of scenes; one, on the staircase at dawn. Paul had come in and gone to bed early; Minta was late. There was Minta, wreathed, tinted, garish on the stairs about three o'clock in the morning. Paul came out in his pyjamas carrying a poker in case of burglars. Minta was eating a sandwich, standing half-way up by a window, in the cadaverous early morning light, and the carpet had a hole in it. <NCP>But what did they say?</NCP> Lily asked herself, as if by looking she could hear them. Minta went on eating her sandwich, annoyingly, while he spoke something violent, abusing her, in a mutter so as not to wake the children, the two little boys. He was withered, drawn; she flamboyant, careless. For things had worked loose after the first year or so; the marriage had turned out rather badly.",,,,,,,
,,"<NCP>And this,</NCP>",,,,,,,
,,"<NCP>is what we call ""knowing"" people, ""thinking"" of them, ""being fond"" of them!</NCP> Not a word of it was true;",,,,,,,
,,"She saw him sitting in the corner of some lugubrious place where the smoke attached itself to the red plush seats, and the waitresses got to know you, and he played chess with a little man who was in the tea trade and lived at Surbiton, but that was all Paul knew about him. And then Minta was out when he came home and then there was that scene on the stairs, when he got the poker in case of burglars (no doubt to frighten her too) and spoke so bitterly, saying she had ruined his life. At any rate when she went down to see them at a cottage near Rickmansworth, things were horribly strained. Paul took her down the garden to look at the Belgian hares which he bred, and Minta followed them, singing, and put her bare arm on his shoulder, lest he should tell her anything.",,,,,,,
,,"Minta was bored by hares, Lily thought. But Minta never gave herself away. She never said things like that about playing chess in coffee- houses. She was far too conscious, far too wary. But to go on with their story--they had got through the dangerous stage by now. She had been staying with them last summer some time and the car broke down and Minta had to hand him his tools. He sat on the road mending the car, and it was the way she gave him the tools--business-like, straightforward, friendly--that proved it was all right now. They were ""in love"" no longer; no, he had taken up with another woman, a serious woman, with her hair in a plait and a case in her hand (Minta had described her gratefully, almost admiringly), who went to meetings and shared Paul's views (they had got more and more pronounced) about the taxation of land values and a capital levy. Far from breaking up the marriage, that alliance had righted it. They were excellent friends, obviously, as he sat on the road and she handed him his tools.",,,,,,,
,,"<NCP>So that was the story of the Rayleys,</NCP>",,,,,,,
,,"She imagined herself telling it to Mrs. Ramsay, who would be full of curiosity to know what had become of the Rayleys. She would feel a little triumphant, telling Mrs. Ramsay that the marriage had not been a success.",,,,,,,
,,"<NCP>But the dead,</NCP>",,,,,,,
,,"<NCP>oh, the dead!</NCP>",,,,,,,
,,"<NCP>one pitied them, one brushed them aside, one had even a little contempt for them. They are at our mercy. Mrs. Ramsay has faded and gone,</NCP>",,,,,,,
,,"<NCP>We can over-ride her wishes, improve away her limited, old-fashioned ideas.</NCP> She recedes further and further from us. Mockingly she seemed to see her there at the end of the corridor of years saying, of all incongruous things, ""Marry, marry!"" (sitting very upright early in the morning with the birds beginning to cheep in the garden outside). And one would have to say to her, <NCP>It has all gone against your wishes. They're happy like that; I'm happy like this. Life has changed completely.",,,,,,,
,,<NCP>What was this mania of hers for marriage?</NCP>,,,,,,,
,,"""The Rayleys""; how Paul went to coffee-houses and played chess.",,,,,,,
,,"<NCP>Yes,</NCP>",,,,,,,
,,"<NCP>I must have seen her look like that, but not in grey; nor so still, nor so young, nor so peaceful.</NCP>",,,,,,,
,,"<NCP>But what was the look she had,</NCP>",,,,,,,
,,"<NCP>when she clapped her deer-stalkers's hat on her head, or ran across the grass, or scolded Kennedy, the gardener?</NCP> Who could tell her? Who could help her?",,,,,,,
,,"<NCP>Yet it would be hung in the attics,</NCP>",,,,,,,
,,"<NCP>it would be rolled up and flung under a sofa; yet even so, even of a picture like that, it was true. One might say, even of this scrawl, not of that actual picture, perhaps, but of what it attempted, that it ""remained for ever,""</NCP>",,,,,,,
